Sample_ID,State,Season,Year,NDVI,Seasonal_Rainfall,Annual_Rainfall,Temperature,pH_0_5,Carbon,Texture,Paddy,Wheat,Apple,Tea,Coconut
b2536686-660b-4334-a039-1265f84376ea,Jammu,Spring,2019,0.27615,410.3409262597561,1781.2601876743138,9.24727272727273,5.6000000000000005,512,7,False,False,False,False,False
36db9cc0-2f0b-4c51-bba9-e98cce5129b4,Jammu,Spring,2019,-0.04102,134.41306249797344,686.8002538206056,1.059756097560978,6.5,415,7,False,False,False,False,False
a5169acb-4e5c-4eb7-8639-4655a9c2d0a5,Jammu,Spring,2019,0.5249333333333333,166.43253618478775,1435.95377189992,30.48320754716985,6.2,389,4,True,False,False,False,True
2d876a81-c8b6-4bc6-a08e-037636bed8fa,Jammu,Spring,2019,0.5458666666666667,440.6700340211392,2033.148385308683,13.110909090909104,6.0,477,7,False,False,False,False,False
29710e28-de4b-434a-8b8c-11bcb0f1ebfc,Jammu,Spring,2019,0.5295166666666667,191.45648497715592,1900.826150920242,32.51830188679247,6.1000000000000005,384,7,True,False,False,False,True
cff7efae-f52b-42dc-ad6a-9dda6eb73adf,Jammu,Spring,2019,0.4450333333333333,145.109926789999,1398.3882269691185,32.33413793103455,7.0,358,4,True,False,False,False,True
22660be7-2397-4613-bacb-39531c287e93,Jammu,Spring,2019,-0.00295,127.94761104509234,708.8626268170774,7.356153846153859,5.800000000000001,464,7,False,False,False,False,False
98f23ce2-0885-4f32-a07e-916f0ebec4c0,Jammu,Spring,2019,-0.0232833333333333,138.57221081852913,693.2292528785765,2.1188888888889323,6.6000000000000005,398,7,False,False,False,False,False
4dfbc685-7f9a-4428-b57c-56b001eedbb7,Jammu,Spring,2019,0.4618833333333333,178.27972316741943,1057.821323026903,20.90404255319152,6.300000000000001,448,7,False,True,True,False,True
7717d794-7fa1-4358-b6fe-7bc2d79b24b7,Jammu,Spring,2019,-0.0143666666666666,124.94713828712702,647.0444033574313,1.7900000000000205,6.6000000000000005,451,7,False,False,False,False,False
d8564fa1-bf84-423f-8cd5-f7d4c6ffc468,Jammu,Spring,2019,-0.034,136.15065482258797,586.5936112254858,-1.224871794871774,7.2,421,9,False,False,False,False,False
